Rank,Channel Title,Channel ID,Subscribers,Views,Videos
1,Bounce Patrol - Kids Songs,UC56cowXhoqRWHeqfSJkIQaA,29100000,22391924134,370
2,Chloe Ting,UCCgLoMYIyP0U56dEhEL1wXQ,25200000,3174361465,438
3,LazarBeam,UCw1SQ6QRRtfAhrN_cjkrOgA,21900000,9387336858,1343
4,How Ridiculous,UC5f5IV0Bf79YLp_p9nfInRA,21400000,12231962262,717
5,CKN,UCfaZw8XH_zmAVkBst_MPD6w,18800000,12793605160,492
6,HowToBasic,UCR4s1DE9J4DHzZYXMltSMAg,17500000,3821764981,611
7,Lachlan,UCh7EqOZt7EvO2osuKbIlpGg,15100000,5536240037,3906
8,SR Toys Collection,UCFVWgnyVpfvjFOjVz-sSXMw,12100000,4047877313,984
9,Primitive Technology,UCAL3JXZSzSm8AlZyD3nQdBA,10900000,1139558706,78
10,AC/DC,UCB0JSO6d5ysH2Mmqz5I9rIw,10500000,9569486342,196
11,Jiemba Sands,UCDb8-E9XyZnyAA7QB_SD8Sg,10000000,5670766635,572
12,JoshDub,UC9DWJ33CMvIseLlyx6hyRnA,10000000,1690528838,508
13,EYstreem,UC-g_O9HWb5B0rVDG1hLd5Hw,9730000,3536352973,1844
14,Hillsong Worship,UC4q12NoPNySbVqwpw4iO5Vg,9500000,4356309350,794
15,cricket.com.au,UCkBY0aHJP9BwjZLDYxAQrKg,9240000,5004587113,12510
16,KjraGaming,UCP-CAwOG0AiieZNFdONsN5Q,9080000,4947369078,2991
17,Muselk,UCd534c_ehOvrLVL2v7Nl61w,9050000,3829171199,2355
18,VuJae,UCstrYVM0-fSq3i2JJvaubBg,9010000,3829303535,921
19,James Condy,UC7l8Wy10AB7VqkjRqjLp2iA,8870000,2579042095,579
20,The Rybka Twins,UC-TFz4MD1ZzcY6NuZAP3Ndw,8310000,1658073384,843
21,NickandCarrie,UCR1Jltq7vMzGQVtRd-DR5AA,8180000,8272187523,1069
22,Troye Sivan,UCWcrr8Q9INGNp-PTCLTzc8Q,8160000,2006585693,189
23,Glitch,UCicx_4RfqfiM07AXLv09Hww,8080000,1492843320,944
24,SMG4,UC8LcA3grYZg0GNpxlXh8owg,8060000,4638250349,1014
25,Fresh,UCqsBym4OHrzSp0Nq1eZoMIA,7910000,2454777487,1150
26,YBS Youngbloods,UCSnwORddxZG1SyB8lSxWQGg,7600000,2402109091,429
27,Hebbars Kitchen,UCPPIsrNlEkaFQBk-4uNkOaw,7570000,2682095126,2616
28,The Mik Maks,UC66KzYUMWmN4PralND7cgAA,7460000,6608957781,444
29,The Norris Nuts,UCYd0us2OtW4d4-1cfpT2ktw,7430000,4114516536,695
30,XtremeGamez,UCLe_kjXzRP_0opzw-BXiQxw,7100000,904669674,262
31,YL Toys Collection,UCkvWlsTswUtMVrEzlu-1sVg,6960000,1806250199,46
32,RackaRacka,UCz_cDc_2arKIb6SlJoqFT0w,6840000,1159328406,156
33,Come And Play,UCMYCx114VbdhQtU_Tz9dndA,6790000,2027706324,294
34,x2Twins,UCTgQTM6B97Tk5FPNOWZMB1Q,6490000,1664954992,1050
35,Strawberry Jam Toys,UCL7UTQpJbDWxzXNBRUyg6lA,6090000,4469880947,896
36,HighlightsNepal,UCrzyJYtjLOTfnUur8hsr7ow,6080000,2867511950,9590
37,Ozzy Man Reviews,UCeE3lj6pLX_gCd0Yvns517Q,5980000,2652303623,919
38,mmmEnglish,UCrRiVfHqBIIvSgKmgnSY66g,5870000,244891038,324
39,Nadeem Sarwar,UC2kCC6CFwU3cZFJl9e_FJlQ,5850000,2280467710,343
40,Mully,UC42vK81HwLY-udUEJYz7efg,5760000,762355212,377
41,Saksham Magic,UCVxR8M2OeHf4BdKzzzpz83A,5750000,5914282779,2091
42,Meditative Mind,UCM0YvsRfYfsniGAhjvYFOSA,5690000,1388540751,1733
43,60 Minutes Australia,UC0L1suV8pVgO4pCAIBNGx5w,5670000,2156395667,4269
44,Priya and Sid,UCsbFefxpne9aYgoQ7baNnRg,5430000,2180618929,444
45,Tones And I,UCQeiBlCcS4-XGwFjrvDn96w,5390000,3025929402,153
46,Fitz,UCtb8P4rf_1n8KS8eZk_lNNw,5290000,701819064,157
47,I did a thing,UCJLZe_NoiG0hT7QCX_9vmqw,5110000,705107369,111
48,Hillsong UNITED,UCsOoQeBWPnfWBYAwmO795zg,5080000,1915476623,543
49,How To Cook That,UCsP7Bpw36J666Fct5M8u-ZA,4950000,941009178,524
50,Sam Fricker,UC7Lzxasu-1yxVks_pr1p10g,4850000,3955207620,5754
51,iggyazaleamusicVEVO,UCcdOEjqjiVAnUtEFZIRTlHg,4800000,3877015430,93
52,ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,4800000,477318709,497
53,Prestige Clips,UCC-uu-OqgYEx52KYQ-nJLRw,4750000,1204084287,790
54,WadZee,UCRlEFn0L2G_DktbyvN0AZ5A,4730000,632058771,249
55,Moto Madness,UC5nVgiv6elz5GnS6MTr1tVA,4660000,1554270487,2047
56,Jalals,UCcf0WYfeIkecTLQ_GzkBu1w,4640000,297358162,22
57,Andy Cooks,UCqNkn5PNeSqbQTAR5RP-L-Q,4600000,2252594369,865
58,Loserfruit,UCIOrUVVyfoWnmcwG6IwCULQ,4510000,1129340787,1357
59,LazarLazar,UCZ3AmknSJtbzXCeO5a4peoQ,4470000,363996375,57
60,TwoSetViolin,UCAzKFALPuF_EPe-AEI0WFFw,4310000,1592968526,1530
61,Sticky,UCJ8_h7AZjj4tu5GZS_riF-Q,4310000,3886607449,978
62,Lyanna Kea,UCKKf2Tvw0Xqz6RfzTI2dTpQ,4180000,2022607455,629
63,Fluffy Jet Toys,UCVE91qOw9Ke8EsK95lMuF2Q,4100000,2707723694,1414
64,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,4080000,4425886346,149918
65,Internet Historian,UCR1D15p_vdP3HkrH8wgjQRw,3970000,457432048,45
66,SunnyV2,UCuF49lP5gkkw5L8HK3H6GJg,3940000,1096611660,224
67,lozaus1,UC59jm6JUT_PNciq8XNHDCbA,3920000,1906241187,232
68,Mighty Car Mods,UCgJRL30YS6XFxq9Ga8W2J3A,3840000,863347849,837
69,Junpei Zaki,UCoYu2szPa2OKg_1TCdQHpFg,3800000,2113221318,2020
70,Sheet Music Boss,UCzTR9iSH-TFC4-ocDS_ll4A,3790000,1658223033,2809
71,Tina Yong,UC0ng0jJflTuJBBH5DGvr1Pw,3740000,587990449,789
72,Vindooly,UCj4hfQEWcGtF08SLEZCZc5Q,3680000,2168715294,631
73,The Wiggles - Kids Songs and Nursery Rhymes,UC5vVe2R4ucoMzJP53o38Yaw,3640000,4499138679,986
74,Halfbrick Studios,UC_aCDTKgWQHfRC4gb9oE37g,3630000,1063820810,1514
75,LT.LICKME,UCfDuOF_6Mk-S1UJZoky15Og,3590000,333663454,140
76,Funformi,UCZOnSuO8tWFXLp8a828lgtA,3550000,2391532195,226
77,Grace's World,UC03GdYOZbnLQAPDXmjc6W9g,3520000,4276636838,535
78,Ash Magic,UCtaMRYGIXKhRpI86D2CqTEA,3510000,4029273805,1857
79,superwog1,UCQr98dS-5M_1xILTm4HAk-A,3470000,487050535,67
80,Wolfychu,UC_nEHeUEVNY5ZYLRWg8KoZQ,3380000,437332559,174
81,Kyutie,UCR6g32TTJcIRwn71M9lPd-g,3370000,1163079599,3490
82,Slapped Ham,UCw4ccFtBN7dhQBcHmE0qylg,3330000,1014839957,1375
83,Jason Stephenson - Sleep Meditation Music,UCqPYhcdFgrlUXiGmPRAej1w,3320000,902354680,936
84,Lauren Curtis,UCXbQzhqSvgVZTUyi1T4AU3w,3320000,319653154,454
85,ArtSpear Entertainment,UCmv8PJ2JcIsHQ-2ivtziszQ,3250000,872129442,313
86,Ben Lionel Scott,UCgkKA7xEOoBQNpC5TJxPLiw,3150000,331555876,836
87,Code Bullet,UC0e3QhIYukixgh5VVpKHH9Q,3130000,252009404,61
88,Vin,UCk8-8rY4q0cV1sOuSbVC_hg,3090000,1941754250,459
89,Ryan Williams,UC8DjAI26daPKmdO11zfpREw,3020000,918561459,641
90,MyCupcakeAddiction,UCxytOEPP99jj8mqVGAO7haQ,3010000,456809243,489
91,maxmoefoe,UCny_vGt2N7_QJ5qBOAHxlcw,2960000,299860432,144
92,HeyImBee,UC3otv50sBsnMrFbZNwawApQ,2950000,270976453,95
93,Tommy Craze,UC_EuakPoEj8zS-vFHrDmkwg,2930000,438758213,212
94,VaatiVidya,UCe0DNp0mKMqrYVaTundyr9w,2920000,631066537,365
95,Blender Guru,UCOKHwx1VCdgnxwbjyb9Iu1g,2920000,180299867,220
96,Kawaii Kunicorn,UC58otONbfRjWcYjlJvHaYfw,2900000,1454815988,680
97,MBC PD수첩,UCawCv9kO2UXbTtsK4EammRQ,940000,481410474,2796
98,Emkay,UCX-EhyoNi5sm7sijOg8TA_g,15300,586247,37
99,SAINTOffiziell,UC_3_YRBl9FIH319DWM3lRWQ,4620,817337,7
100,Sam Green,UCQFaWDcSiEbKy-fZ7CJRtlQ,5,2960,10
